"avals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-2,-3.01256415983061,-3.11560721779794,-3.76602606889825,-2.27368846141145,-2.53049137428916,-4.56191141176549,-1.99234742445433,-2.56805323561279,-2.0378800645477,-1.84662677753463,-3.40752744261372,-2.7029624906601,-4.78238947229818,-1.84329587573617,-1.66714911238118,-5.46501512584211,-2.57968563029841,-1.3466559005845,-4.19827469815436,-1.69752985389143,-2.14793515977769,-1.56058560589492,-0.194166396815633,-1.43763399824012,-3.08125324424359,-1.22404207696156,-4.19190652217169,-1.70365136740908,-3.4542735651566,-4.27243350686032,-5.0742283778855,-2.20064405618842,-3.59918174823419,-3.0007933621998,-4.64345867143132,-3.79419666868564,-3.1464928328278,-2.05241348093129,-3.56264880041024,-2.68302064241686,-1.54059669853477,-2.63698209734593,-2.41510830485437,-5.50853516407634,-3.75703887156802,-2.27066637570134,-3.34096439824004,-2.34126392447784,-3.63521642589405,-2.55168754420135,-2.3945726295927,-2.35762888429808,-2.33685361708836,-3.6907397343191,-3.89827939354319,-4.31279731724333,-1.49524295787121,-2.25371569821144,-3.66819711765933,-2.84200957046168,-3.08796780483981,-2.71970819887325,-2.7715167368564,-4.1592046757007,-1.66772923057193,-3.33593463748967,-3.38368583347997,-3.71938660211268,-3.88825947899303,-4.31280377450677,-3.0894011416481,NA,-2.93767283452505,-4.40180321791171,-2.23673109043879,-4.20106744496441,-2.89965504270759,-2.12330981498041,-2.59048744090781,-1.93155130875939,-2.66461695112747,-2.55720310910738,-0.816592285014709,-3.26191905773061,-1.54594691177281,-2.64132462390139,-3.77159990754312,-3.05410800051514,-2.1589074365874,-3.78987569173139,-3.43413246408547,-3.95931736813785,-2.52884869099965,-1.74560403067015,-5.02962155718006,-4.87626846264801,-5.15001279677634,-5.64811290132922,-1.70125495571689,-4.14261882838854
-1.95959595959596,-2.97391177952255,-3.03206614598534,-3.68448771014509,-2.21838309724955,-2.44769369709406,-4.478287185043,-2.00762323304969,-2.49632015059354,-1.96872981190053,-1.78674840603717,-3.34251466180036,-2.64408339480418,-4.72433165646091,-1.78544808346853,-1.57198205076809,-5.36303514277266,-2.52630503214785,-1.16231501425589,-4.11288461819067,-1.63386407749121,-2.0712056430911,-1.50864873887058,-0.160075027295652,-1.39432906079827,-3.0167566880211,-1.1414388495553,-4.10955437096891,-1.61393583833334,-3.30156908543812,-4.17547609055449,-4.95928841175263,-2.14154275167046,-3.53837302235266,-2.98319274692558,-4.5271275737089,-3.7268348845911,-3.08270910137974,-1.97574804121248,-3.46852081775083,-2.61160717795124,-1.37646753936886,-2.56459072829912,-2.32361739114733,-5.43149745056702,-3.70433249147729,-2.31773566988433,-3.24509649257064,-2.25152881226711,-3.50954588750474,-2.47696607865092,-2.37295123347759,-2.26146289142687,-2.24596900167104,-3.62687619889115,-3.80253913251389,-4.23446457157914,-1.46334034913471,-2.22276420547195,-3.5639792681073,-2.78785308647417,-2.99756179385482,-2.70769504489038,-2.7032104627831,-4.05373570634144,-1.61898887612252,-3.2024072379734,-3.33235171706272,-3.64654625661094,-3.76504911839355,-4.24906063526059,-3.01545856355985,NA,-2.90161456113141,-4.28582452438907,-2.15637060138958,-4.11924024971014,-2.85499517171296,-2.07256085132563,-2.52913667163267,-1.85686504250759,-2.60928858823001,-2.49281581757095,-0.769557521023124,-3.19197561330887,-1.50390276578046,-2.56998911386247,-3.73163673595593,-2.97918304513229,-2.1086718646258,-3.77213599589669,-3.36281136585744,-3.88192068393081,-2.48616590911779,-1.66767163215257,-4.92366020610025,-4.7252106786915,-5.05581545394586,-5.54111860278887,-1.69202125153714,-3.95088848876654
-1.91919191919192,-2.94575878458959,-2.97053217344983,-3.60199157587947,-2.16290830254044,-2.35502107127217,-4.39522987627658,-2.01843752632435,-2.41886734476985,-1.89965009685794,-1.72669750553628,-3.27753928004554,-2.58550343288158,-4.66063618379755,-1.72774674082295,-1.48574335860101,-5.26089487094382,-2.47293296295015,-0.984314769816112,-4.02746202537929,-1.58075885069998,-1.99459564108992,-1.45648561411389,-0.129079550295924,-1.35044833221332,-2.95186735782423,-1.06131098921396,-4.02746548561408,-1.53830535684867,-3.14862235596564,-4.07906404464605,-4.84530183031937,-2.08241886721511,-3.47834076113633,-2.96415391883564,-4.41155151611373,-3.66195048403696,-3.01854372377466,-1.90311141116687,-3.37484896436736,-2.53646258222731,-1.22945589553665,-2.49231423950039,-2.23252458449922,-5.35200742885292,-3.65050311939379,-2.34790871697737,-3.15678998857853,-2.16590259575137,-3.40081920949143,-2.39575828690907,-2.35450505171873,-2.17663560746143,-2.1541775140189,-3.56292157151191,-3.70659882404136,-4.15588492232058,-1.42778984681907,-2.19062012761484,-3.46055319737629,-2.72349288724483,-2.90985817602975,-2.68135198440082,-2.63483692593752,-3.94826159022648,-1.5691459140949,-3.07524083429174,-3.28058328831877,-3.57096544236417,-3.64078335956824,-4.18518447952052,-2.94165325583774,NA,-2.86416239394127,-4.17027644172953,-2.07504313572336,-4.03770005921048,-2.8058362379484,-2.01876188761719,-2.46782535278425,-1.7832495269228,-2.55299553027037,-2.4283221019228,-0.722466814923893,-3.12245751183443,-1.46134706866165,-2.49621325507593,-3.69396989274296,-2.90429512133881,-2.05784337827354,-3.75538990818182,-3.2914034488971,-3.81491779814456,-2.44276190023586,-1.59353866722974,-4.81649256143431,-4.529645876994,-4.9609618190801,-5.43314805362261,-1.68050266873805,-3.7698699703069
-1.87878787878788,-2.92051721082525,-2.92925816186996,-3.51888851533075,-2.10726435018771,-2.25945343905291,-4.31275666365593,-2.02497564364096,-2.33530785440961,-1.83064027815954,-1.66647071442981,-3.2126017891378,-2.52720671371051,-4.5909902607565,-1.67019155902245,-1.40679582145584,-5.15860312452568,-2.41956885258955,-0.8122527349183,-3.94200979803061,-1.5384032798337,-1.91811016520953,-1.40408497059986,-0.101971196724755,-1.30603112568045,-2.8865098235355,-0.98407519850238,-3.94562503144001,-1.47930989545935,-2.99529049714508,-3.9831835109127,-4.73218527409673,-2.02327368503583,-3.41677113229626,-2.94311851134617,-4.29671711274726,-3.59947118637491,-2.95400157574316,-1.8351317288989,-3.28162493049743,-2.45842018993453,-1.10392425718515,-2.42015482937335,-2.14182736644986,-5.26755907997355,-3.59525844925512,-2.36190152061552,-3.07676290036381,-2.08136320364817,-3.3065408563337,-2.30834230086633,-2.33690569574917,-2.10339916062368,-2.0618643488323,-3.4988776210073,-3.61050736659946,-4.07706019203279,-1.38883355245668,-2.15691240913,-3.35792650315945,-2.65076426542028,-2.826898297035,-2.64414557751836,-2.56640117549717,-3.84274438857888,-1.51831738621079,-2.95634347934759,-3.22841262592802,-3.49223020062641,-3.51773995826216,-4.12117073460634,-2.86796975648539,NA,-2.82535460680213,-4.0559972422926,-1.99291693571628,-3.95644947196906,-2.75433252355026,-1.96229382149219,-2.40655653910458,-1.71060203744221,-2.49561104440223,-2.36372836838645,-0.675320995518068,-3.05334639100378,-1.4182929939782,-2.42021798568987,-3.65838942077043,-2.82945187481231,-2.00645348756586,-3.73614511663602,-3.21991129385188,-3.75689862326594,-2.39863084191466,-1.52239948011211,-4.70814011390414,-4.29621294107581,-4.86551159099929,-5.32477728146082,-1.66588740233203,-3.59908518578127
-1.83838383838384,-2.89197223314655,-2.90231529603696,-3.435539576012,-2.0514587754077,-2.16862795890925,-4.23084940506417,-2.02741763589592,-2.24501314707223,-1.76169974660138,-1.6060851739697,-3.14770261864843,-2.46917852830247,-4.51328733109173,-1.612782195371,-1.33346104853887,-5.0561675551547,-2.36621291877858,-0.645176715636674,-3.85653056410623,-1.50801770303639,-1.84175044937948,-1.35146236429498,-0.0781366306447489,-1.26108281445037,-2.82073961218528,-0.91050035386137,-3.86404375915969,-1.43795282503725,-2.84151296821964,-3.88784153584418,-4.6199896705255,-1.96410850631105,-3.35206174370025,-2.91919846704992,-4.1826113561238,-3.53948349622672,-2.88908766630013,-1.77256666523671,-3.1888405987773,-2.37815258134549,-0.999971194001493,-2.3481140716798,-2.0515009582711,-5.17611291145231,-3.53830995602162,-2.36163256617936,-3.00472819646994,-1.9966248867824,-3.224087954042,-2.21476352307789,-2.31795905383282,-2.0410179409013,-1.96946386219857,-3.43474083292653,-3.51431887450919,-3.99797960363105,-1.34665498892608,-2.12134701920655,-3.25604318162768,-2.57239995666798,-2.75062319580911,-2.59970459316397,-2.4979056972736,-3.73716348573499,-1.46655037965041,-2.84841788935039,-3.17585373841147,-3.40952223340753,-3.39755032996592,-4.05701607283706,-2.79439396968905,NA,-2.78524152371052,-3.94380718885193,-1.91041375946434,-3.87547323493763,-2.70155382962821,-1.90270719758971,-2.34533276761712,-1.63890278413803,-2.43688348588469,-2.29903894496929,-0.628121849033024,-2.98465615105381,-1.37475352885772,-2.34272267352246,-3.62463230424979,-2.75466043998503,-1.95453446222401,-3.70883290259755,-3.14833731721522,-3.70506395320564,-2.35378718675034,-1.45348700396049,-4.59864752975125,-4.03248881493546,-4.76952138596656,-5.21705211483306,-1.64718530670797,-3.43787546657797
-1.7979797979798,-2.85752467064007,-2.88132485852054,-3.35223939676309,-1.99549690060929,-2.08829824123051,-4.14951029573483,-2.02593826022911,-2.14731785434948,-1.69282792486549,-1.54554411120863,-3.08284213630684,-2.41140672987628,-4.42397177915322,-1.5555195538114,-1.26520595394117,-4.95359557627589,-2.31286459157302,-0.483517850788658,-3.7710268232394,-1.48975799208786,-1.76552431105885,-1.29861375190001,-0.0572342144265554,-1.21564622282885,-2.7545613310918,-0.840602420697232,-3.78270387987086,-1.41213342808276,-2.68768497026285,-3.79305324394945,-4.50861563769881,-1.90492465063585,-3.28295823894395,-2.89180147696321,-4.06923535716615,-3.48193817451336,-2.82379692227905,-1.71538830800465,-3.09648804016434,-2.29626482161717,-0.919462437152911,-2.2761898508499,-1.96154783280371,-5.07666086479231,-3.47942570764386,-2.34854528113692,-2.93948896189232,-1.91097415640569,-3.15064202979139,-2.11537620720449,-2.29591625593416,-1.98754982091369,-1.87752368350604,-3.37051617362424,-3.41810842364715,-3.91865639268708,-1.30163388652727,-2.0839926827432,-3.15488266015677,-2.49165271389207,-2.68138429942575,-2.55190006735038,-2.42935686623552,-3.63147515006207,-1.4139266806064,-2.75350706385594,-3.12289677377984,-3.32194226650815,-3.28109489673352,-3.99271637126121,-2.72090114305911,0.533994898803073,-2.74385180167627,-3.83425948585194,-1.82797900310155,-3.79474741884035,-2.64734482819706,-1.84064265349244,-2.28415794713068,-1.56803656190665,-2.37647978670836,-2.23425809564723,-0.580870484376766,-2.91635301979381,-1.33074146576812,-2.26496481691641,-3.59233947994899,-2.67992470960645,-1.90208530535503,-3.66660234624139,-3.07668351446354,-3.65514590354284,-2.30825881602234,-1.3862468598911,-4.48807445966623,-3.74882373205215,-4.67303343184323,-5.1109490317564,-1.62396999253616,-3.28512695438115
-1.75757575757576,-2.81679620331284,-2.85397699795616,-3.26930731750567,-1.9393829586265,-2.02164442702625,-4.06876864766839,-2.02070698818122,-2.04171826986915,-1.6240242673291,-1.48484993473012,-3.01802081105596,-2.35387378793314,-4.32029083706232,-1.49840329004675,-1.20136483887125,-4.85089826412573,-2.25952379981689,-0.328270186927859,-3.68550095470598,-1.48463867050138,-1.68943011273778,-1.24554517062883,-0.0382314316542052,-1.16972157908655,-2.68795819839836,-0.77478978797521,-3.70161988507294,-1.39951973311565,-2.53526809795906,-3.69879193542254,-4.39806140793932,-1.84572345546922,-3.20900059505958,-2.86029581939613,-3.95656953260175,-3.42702108478337,-2.75814458853828,-1.66390804163915,-3.00456453208534,-2.21330418109094,-0.860229075342843,-2.20438267048946,-1.87199035572165,-4.96933232265232,-3.41838226558187,-2.32392306256498,-2.87873992506143,-1.82393625594078,-3.08349637580993,-2.01036178053523,-2.26895261891705,-1.94111006523848,-1.78665489992382,-3.30619683464318,-3.32192456291637,-3.83909380381602,-1.25398066297174,-2.04511806956432,-3.05442731402007,-2.41165355605602,-2.61834881525576,-2.50468716448214,-2.36076044527575,-3.52566367862155,-1.36049321634815,-2.67256379827646,-3.06957214326891,-3.22864774948255,-3.16887813581391,-3.92826743945946,-2.64748212121693,0.610648096318682,-2.70119045675099,-3.72781268924615,-1.74606346379279,-3.71426354473687,-2.59063840295151,-1.77616951523508,-2.22303325304396,-1.49792836568284,-2.31415599741299,-2.16939002081926,-0.533567959547625,-2.8484471074413,-1.28625718451953,-2.18852501876389,-3.56091535337656,-2.6052502383463,-1.84913548539174,-3.60391577932837,-3.00495304784545,-3.60201486961334,-2.26202876706829,-1.32022464151996,-4.3764825228367,-3.46055083144479,-4.57610705982436,-5.00699095675264,-1.5954686892992,-3.14038384031171
-1.71717171717172,-2.77048417684145,-2.80779782519902,-3.18698088335559,-1.88312115378955,-1.96760439406788,-3.98860090392817,-2.01185948363041,-1.92852849734522,-1.55528825985447,-1.42401563640539,-2.95323985874486,-2.29655888695346,-4.20015125999366,-1.44143147041239,-1.14132903737307,-4.74808392005437,-2.20619036643167,-0.178652400375819,-3.59995522516477,-1.4908004431057,-1.61347878695573,-1.19226160230993,-0.0201547479664566,-1.12335426090488,-2.62095607204501,-0.712865079975813,-3.62077168448551,-1.39717781157494,-2.38671010531357,-3.60510438855973,-4.28835918640169,-1.78650627557658,-3.13019074726816,-2.82414709558424,-3.84459489550206,-3.37492845979348,-2.69213652651158,-1.61786115414478,-2.91306112082523,-2.12982339075447,-0.818974869079251,-2.13269613532953,-1.7827912785256,-4.85493987746372,-3.35498432337651,-2.28947393957427,-2.81933615319763,-1.73478626935097,-3.01985028964222,-1.90019404731099,-2.2359756710615,-1.89998575731518,-1.69761074268863,-3.24178942348064,-3.22584261590327,-3.75929366962929,-1.20400632277267,-2.00515594044773,-2.95468541210638,-2.33442163564566,-2.55959681445645,-2.4613397091918,-2.29212009413366,-3.41968647698435,-1.30629177146294,-2.60652886961869,-3.01589265636979,-3.12940972090572,-3.06098308079065,-3.86366502448964,-2.5741171400286,0.685891939035389,-2.65730490715604,-3.62479288574531,-1.66502117569589,-3.63403146473763,-2.52977056410418,-1.70945931149176,-2.16196371230958,-1.42856122019648,-2.24963907498027,-2.10443648410669,-0.486215282545798,-2.78092147725977,-1.24132276817608,-2.11497232808019,-3.52978810671483,-2.53064266941487,-1.79571423760987,-3.51944420008067,-2.93314835218321,-3.54064270718614,-2.21515030046045,-1.25501744639441,-4.26396511898721,-3.17754667676527,-4.47879729796884,-4.90473472208011,-1.56145210301008,-3.00284807194294
-1.67676767676768,-2.71950347673593,-2.73585987126041,-3.10551641143164,-1.82671566221463,-1.92236103130014,-3.9090057789129,-1.99956684538893,-1.80892541320591,-1.4866195357498,-1.36304225000114,-2.88849833758696,-2.23944583675311,-4.0633842758013,-1.38460353401317,-1.08262035171432,-4.64516072321951,-2.1528638263993,-0.0347870533466893,-3.51439179616721,-1.50592547863686,-1.5376654850976,-1.13876013017818,-0.00221508644670566,-1.07654030510705,-2.5535612552922,-0.654762086379532,-3.54017573273373,-1.40190939195629,-2.24524932208165,-3.51195270910953,-4.17943432949285,-1.72727448246817,-3.04647043966888,-2.78341589952718,-3.73329991049288,-3.32573331598948,-2.6257781861672,-1.57679915271949,-2.82196649010756,-2.04611076391673,-0.792159386966205,-2.06112888108742,-1.69394659483301,-4.73472223643698,-3.28906988988916,-2.24664082112368,-2.75789592307324,-1.64305941898717,-2.95691961783299,-1.78530868643427,-2.19584037250203,-1.86219174760122,-1.61122584332855,-3.1772885626066,-3.12992515909528,-3.6792578337924,-1.1518935428381,-1.96463827413227,-2.85560552023639,-2.26098993707547,-2.50299642358719,-2.42348406643639,-2.2234409316946,-3.31351364157583,-1.25140963923385,-2.55388361273696,-2.96184936662052,-3.02433682772392,-2.95744141763815,-3.79890481609145,-2.50080991112291,0.759857660224835,-2.61224176499665,-3.52522369075909,-1.58507273902293,-3.55401973381237,-2.46293050607505,-1.6407065001996,-2.10094890558189,-1.3598555113267,-2.18268104211599,-2.03940360774186,-0.438813412297443,-2.71376479637203,-1.19595365413086,-2.04583518206145,-3.49821652877855,-2.45611258732972,-1.7418212044912,-3.41731741004165,-2.86127182655225,-3.46755697647717,-2.16759477304121,-1.19045856229486,-4.15056429485066,-2.90758663098401,-4.38114998301229,-4.80258996346311,-1.52166778262749,-2.87207024183526
-1.63636363636364,-2.66459057467938,-2.63765549711673,-3.02518287671026,-1.77017063212941,-1.8804597575658,-3.83000924386526,-1.98400331525586,-1.6851726871765,-1.41801815601847,-1.30193667521531,-2.82379636578863,-2.1825200115313,-3.91508878518664,-1.32791886669497,-1.02102677690077,-4.54213673149402,-2.09954434678003,0.103172198232321,-3.42881273143705,-1.52491345831181,-1.462004567389,-1.0850542322119,0.0167802208808651,-1.02932675952529,-2.48576677365218,-0.600312110218165,-3.45981254815631,-1.41004610636881,-2.11348313497725,-3.41935795134249,-4.07127842045033,-1.66802946383322,-2.95846804724184,-2.73767341496891,-3.62267338561018,-3.27928481559071,-2.55907510159306,-1.54036502913089,-2.73127343249664,-1.96250332920456,-0.776265774108448,-1.98968011327928,-1.60548316983692,-4.61011513610825,-3.22051486560357,-2.19654446387418,-2.69068033128311,-1.54859137386998,-2.89124857002916,-1.66641943757703,-2.14806695131625,-1.82584015283542,-1.52827335132624,-3.11269773073623,-3.03420027164793,-3.59898014319487,-1.09788245789311,-1.92400727773071,-2.7571688566834,-2.19138032460426,-2.44677027698664,-2.39063250926801,-2.15472906358703,-3.20714472819615,-1.1958543275569,-2.51212236499028,-2.9074710033232,-2.91385561511063,-2.85832441315032,-3.7339824521507,-2.42753193919426,0.832315702740629,-2.5660088881582,-3.42889428023587,-1.50625636622429,-3.47422017467396,-2.388477558996,-1.5701657274493,-2.0399952177271,-1.29174587270906,-2.11307886124186,-1.97429600364064,-0.391362900083281,-2.64698419993116,-1.15016176330298,-1.98249016279083,-3.46544564076856,-2.38166037858453,-1.68748387549909,-3.30527899565949,-2.7893258345099,-3.38153745610093,-2.11941241064168,-1.12625787910719,-4.03639070365096,-2.65328599106403,-4.28320874384188,-4.69810753674515,-1.47600703133529,-2.74738550617704
